anio,zona,co_mol_m2,co_mg_m3,co_mg_m3_suelo
2019,Dist_26Oct,0.03457344309949142,3.9509174538037612,1.1852752361411285
2019,Dist_Paita,0.0334171209927429,3.818059612618722,1.1454178837856166
2019,Parinas,0.03294526927177816,3.6764345922647674,1.1029303776794301
2020,Dist_26Oct,0.03519166753643399,4.027840040297132,1.2083520120891398
2020,Dist_Paita,0.03431093272286463,3.9296260050083465,1.1788878015025037
2020,Parinas,0.03365414819086116,3.7585269473719216,1.1275580842115767
2021,Dist_26Oct,0.03374720904193714,3.8700484468059972,1.161014534041799
2021,Dist_Paita,0.03251388164394504,3.727025529547264,1.1181076588641792
2021,Parinas,0.03209875771851612,3.5907009918593675,1.0772102975578102
2022,Dist_26Oct,0.0332622862805467,3.8202360007930323,1.1460708002379094
2022,Dist_Paita,0.032359618574411275,3.7188227764398447,1.1156468329319533
2022,Parinas,0.031673845691281594,3.547400334296779,1.0642201002890335
2023,Dist_26Oct,0.0352638799315711,4.009454537652227,1.2028363612956678
2023,Dist_Paita,0.03405450163347315,3.8705401340319505,1.161162040209585
2023,Parinas,0.03343339982820939,3.712881314913353,1.1138643944740059
2024,Dist_26Oct,0.04072636050873746,4.654146479335868,1.3962439438007603
2024,Dist_Paita,0.039390547014790396,4.507901372693538,1.352370411808061
2024,Parinas,0.03868367396518445,4.3138374103632335,1.29415122310897
