anio,zona,no2_mol_m2,no2_ug_m3,no2_ug_m3_suelo
2019,Dist_26Oct,4.636982106420454e-05,8.705124615936745,2.176281153984186
2019,Dist_Paita,3.911530196314983e-05,7.340433874178295,1.8351084685445738
2019,Parinas,4.0289488264341813e-05,7.385823325962626,1.8464558314906565
2020,Dist_26Oct,4.754233032131316e-05,8.94309035941642,2.235772589854105
2020,Dist_Paita,4.076834227480119e-05,7.673343192225403,1.9183357980563507
2020,Parinas,4.194099428279442e-05,7.6975364082899675,1.9243841020724919
2021,Dist_26Oct,5.0980734498004935e-05,9.60475839474489,2.4011895986862224
2021,Dist_Paita,4.2475310647659285e-05,8.000739846079904,2.000184961519976
2021,Parinas,4.4211497459736836e-05,8.127248740684081,2.0318121851710202
2022,Dist_26Oct,5.444208262107148e-05,10.27354143371769,2.5683853584294223
2022,Dist_Paita,4.5803555840623815e-05,8.648140489665343,2.1620351224163357
2022,Parinas,4.665663212553023e-05,8.585666233596509,2.1464165583991273
2023,Dist_26Oct,4.764987105804728e-05,8.896795476068876,2.224198869017219
2023,Dist_Paita,4.040287492219371e-05,7.540993355976351,1.8852483389940877
2023,Parinas,4.094006329341331e-05,7.467263487928779,1.8668158719821948
2024,Dist_26Oct,4.936656720966944e-05,9.265404596001856,2.316351149000464
2024,Dist_Paita,4.168940990362677e-05,7.8326934722047445,1.9581733680511861
2024,Parinas,4.255942177729057e-05,7.793267295920103,1.9483168239800257
